"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_4.2471",37.7790684940339,1.32507999622458,0.249408153720603,5.31289765974927,1.07895639027544e-07,2.55812863675533e-06,"sp|O88307|SORL_MOUSE",1.02e-46,"Sortilin-related receptor OS=Mus musculus GN=Sorl1 PE=1 SV=3","tr|A0A2B4RNG0|A0A2B4RNG0_STYPI",0,"Sortilin-related receptor OS=Stylophora pistillata GN=SORL1 PE=4 SV=1","ref|XP_020613965.1|",0,"uncharacterized protein LOC110052179 [Orbicella faveolata]","GO:0005769; GO:0005783; GO:0005768; GO:0005615; GO:0005794; GO:0031985; GO:0016021; GO:0034362; GO:0016020; GO:0005641; GO:0048471; GO:0055037; GO:0005802; GO:0030306; GO:0001540; GO:0030169; GO:0008203; GO:0006897; GO:0006869; GO:1902430; GO:1902960; GO:0043407; GO:1902963; GO:1902997; GO:0050768; GO:1901215; GO:0032091; GO:0032460; GO:1902948; GO:1902771; GO:1902955; GO:2001137; GO:1902953; GO:0045732; GO:0070863; GO:1902966; GO:0006892; GO:0051604; GO:0045053; GO:0006605; GO:0000042; GO:0006622; GO:0014910","GO:0016021"
"evm.TU.chromosome_7.510",23.3343831189155,-2.28191546081656,0.432010982377899,-5.28207743297709,1.27727188762215e-07,2.98414079208909e-06,NA,NA,NA,"tr|A0A2B4RCN8|A0A2B4RCN8_STYPI",2.71e-115,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene21269 PE=4 SV=1","ref|XP_020605437.1|",3.74e-161,"uncharacterized protein LOC110044255 [Orbicella faveolata]",NA,"GO:0016021"
"evm.TU.chromosome_13.3278",10.2156253999538,1.63206019376645,0.31587403183785,5.16680711064037,2.38126785914733e-07,5.23700556888133e-06,"sp|Q5VVW2|GARL3_HUMAN",0,"GTPase-activating Rap/Ran-GAP domain-like protein 3 OS=Homo sapiens GN=GARNL3 PE=2 SV=2","tr|A0A2B4SVR0|A0A2B4SVR0_STYPI",0,"GTPase-activating Rap/Ran-GAP domain-like protein 3 OS=Stylophora pistillata GN=GARNL3 PE=4 SV=1","ref|XP_020612297.1|",0,"GTPase-activating Rap/Ran-GAP domain-like protein 3 isoform X2 [Orbicella faveolata]","GO:0043231; GO:0005096; GO:0051056","GO:0005096; GO:0051056"
"evm.TU.chromosome_10.2303",14.1059330271286,1.60931273718531,0.312224007187665,5.15435296497881,2.54508164503497e-07,5.56255065247344e-06,"sp|Q8AVQ6|SYF2_XENLA",7.16e-94,"Pre-mRNA-splicing factor syf2 OS=Xenopus laevis GN=syf2 PE=2 SV=1","tr|A0A2B4SXD5|A0A2B4SXD5_STYPI",1.01e-119,"Pre-mRNA-splicing factor syf2 OS=Stylophora pistillata GN=syf2 PE=4 SV=1","ref|XP_020622031.1|",3.49e-145,"pre-mRNA-splicing factor syf2-like isoform X1 [Orbicella faveolata]","GO:0005634; GO:0006397; GO:0008380",""
"evm.TU.chromosome_9.2934",21.5782116202846,-2.327345900632,0.452388401209123,-5.14457464959663,2.68127620091757e-07,5.78840215139263e-06,"sp|P02466|CO1A2_RAT",1.27e-151,"Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3","tr|A0A2B4RW86|A0A2B4RW86_STYPI",0,"Collagen alpha-2(I) chain OS=Stylophora pistillata GN=Col1a2 PE=4 SV=1","ref|XP_022798522.1|",0,"collagen alpha-1(I) chain-like [Stylophora pistillata]","GO:0005581; GO:0005584; GO:0070062; GO:0031012; GO:0005576; GO:0005615; GO:0005622; GO:0005201; GO:0042802; GO:0046872; GO:0048407; GO:0002020; GO:0030674; GO:0046332; GO:0001568; GO:0071230; GO:0071310; GO:0071300; GO:0097067; GO:0030199; GO:0070208; GO:0008217; GO:0071873; GO:0007266; GO:0001501; GO:0043589; GO:0007179","GO:0005581; GO:0005201"
"evm.TU.chromosome_13.2378",9.04276716642174,-2.46239579618959,0.481441145764395,-5.11463512799678,3.14347991223148e-07,6.69595430881134e-06,NA,NA,NA,NA,NA,NA,"ref|XP_022787843.1|",1.28e-55,"uncharacterized protein LOC111327821 [Stylophora pistillata]",NA,NA
"evm.TU.chromosome_6.117",39.4281455210579,1.09035436538894,0.214094558318552,5.09286351765464,3.52695597909993e-07,7.43192063729956e-06,"sp|Q99MI1|RB6I2_MOUSE",3.91e-121,"ELKS/Rab6-interacting/CAST family member 1 OS=Mus musculus GN=Erc1 PE=1 SV=1","tr|A0A2B4SSH7|A0A2B4SSH7_STYPI",0,"ELKS/Rab6-interacting/CAST family member 1 OS=Stylophora pistillata GN=Erc1 PE=4 SV=1","ref|XP_020618916.1|",0,"ELKS/Rab6-interacting/CAST family member 1-like [Orbicella faveolata]","GO:0005737; GO:0000139; GO:0008385; GO:0048786; GO:0045202; GO:0045296; GO:0030165; GO:0017137; GO:0007252; GO:0015031; GO:0042147","GO:0048786"
"evm.TU.chromosome_10.2477",13.1590616373708,1.36570697710138,0.268554716988425,5.08539560360895,3.66860580969002e-07,7.68444232384059e-06,"sp|P18956|GGT_ECOLI",3.14e-19,"Glutathione hydrolase proenzyme OS=Escherichia coli (strain K12) GN=ggt PE=1 SV=1","tr|A0A2B4SVB0|A0A2B4SVB0_STYPI",0,"Gamma-glutamyltranspeptidase OS=Stylophora pistillata GN=ggt PE=4 SV=1","ref|XP_020626561.1|",0,"uncharacterized protein LOC110063902 [Orbicella faveolata]","GO:0030288; GO:0042597; GO:0036374; GO:0102953; GO:0103068; GO:0043102; GO:0006750; GO:0006751; GO:0097264",""
"evm.TU.chromosome_7.1713",32.9018307788842,-1.0347372796095,0.205153208763869,-5.04372944417593,4.56544724420293e-07,9.35749976484973e-06,NA,NA,NA,"tr|A7RR11|A7RR11_NEMVE",1.03e-176,"Predicted protein OS=Nematostella vectensis GN=v1g240062 PE=4 SV=1","ref|XP_020614964.1|",0,"uncharacterized protein LOC110053114 isoform X2 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_7.276",6.77774746954138,1.84156441309214,0.366872740499212,5.01962727071594,5.17718353571368e-07,1.04468803167391e-05,"sp|Q2HJ40|BACE1_BOVIN",3.49e-147,"Beta-secretase 1 OS=Bos taurus GN=BACE1 PE=2 SV=1","tr|A0A2B4STI7|A0A2B4STI7_STYPI",0,"Beta-secretase 1 OS=Stylophora pistillata GN=BACE1 PE=4 SV=1","ref|XP_020602753.1|",0,"beta-secretase 1-like [Orbicella faveolata]","GO:0030424; GO:0009986; GO:0030659; GO:0005783; GO:0005768; GO:0005794; GO:0005887; GO:0045121; GO:0005771; GO:0005802; GO:0001540; GO:0004190; GO:0019899; GO:0050435; GO:0006509; GO:0050804; GO:0030163; GO:0006508","GO:0016021; GO:0004190"
"evm.TU.chromosome_5.835",9.10024339747539,-2.05070452202649,0.408909425248505,-5.01505809209514,5.3017444654023e-07,1.06737749145745e-05,"sp|Q7Z5P9|MUC19_HUMAN",2.72e-40,"Mucin-19 OS=Homo sapiens GN=MUC19 PE=1 SV=3","tr|L9KHV6|L9KHV6_TUPCH",1.51e-112,"Foot protein 1 variant 1 OS=Tupaia chinensis GN=TREES_T100019497 PE=4 SV=1","gb|ELW62064.1|",2.34e-112,"Foot protein 1 variant 1 [Tupaia chinensis]","GO:0070062; GO:0005796; GO:0005886; GO:0016266; GO:0002223",""
"evm.TU.chromosome_3.451",5.80575919554634,-3.15773546240906,0.633151509708678,-4.98732991075387,6.12194752022525e-07,1.21173289344144e-05,"sp|P54357|MLC2_DROME",9e-34,"Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1","tr|A0A2B4SP21|A0A2B4SP21_STYPI",1.13e-78,"Myosin-2 essential light chain OS=Stylophora pistillata GN=Mlc-c PE=4 SV=1","ref|XP_020631576.1|",5.01e-97,"myosin-2 essential light chain-like [Orbicella faveolata]","GO:0005829; GO:0016459; GO:0016460; GO:0031475; GO:0031476; GO:0031477; GO:0005509; GO:0017022; GO:0032036; GO:0030048","GO:0005509"
"evm.TU.chromosome_8.1118",10.9144992899387,-2.55895326498873,0.513136009785559,-4.98689083632647,6.13587109192126e-07,1.21312575931857e-05,"sp|P63254|CRIP1_MOUSE",3.92e-41,"Cysteine-rich protein 1 OS=Mus musculus GN=Crip1 PE=1 SV=2","tr|K1PPH8|K1PPH8_CRAGI",1.93e-42,"Cysteine-rich protein 1 OS=Crassostrea gigas GN=CGI_10005388 PE=4 SV=1","ref|XP_020611657.1|",7.07e-44,"cysteine-rich protein 2-like [Orbicella faveolata]","GO:0005737; GO:0003680; GO:0008301; GO:0042277; GO:0008270; GO:0071236; GO:0071493; GO:0008630; GO:0010043","GO:0046872"
"evm.TU.chromosome_13.394",17.9260043044492,-1.22306606196798,0.247279906749888,-4.9460794370367,7.5723068256192e-07,1.46586546197921e-05,"sp|B2RR83|YTDC2_MOUSE",0,"Probable ATP-dependent RNA helicase YTHDC2 OS=Mus musculus GN=Ythdc2 PE=1 SV=1","tr|A0A2B4SPD4|A0A2B4SPD4_STYPI",0,"Putative ATP-dependent RNA helicase YTHDC2 OS=Stylophora pistillata GN=Ythdc2 PE=4 SV=1","gb|PFX31771.1|",0,"putative ATP-dependent RNA helicase YTHDC2 [Stylophora pistillata]","GO:0005737; GO:0005783; GO:0005524; GO:0004004; GO:1990247; GO:0003723; GO:0070063; GO:0008186; GO:0044829; GO:0070555; GO:0034612; GO:0006396","GO:0005524; GO:0004386; GO:0003723"
"evm.TU.chromosome_6.2613",9.48692681011942,-2.22226428212645,0.449878864347758,-4.93969478950368,7.82449458209569e-07,1.50970751980501e-05,NA,NA,NA,"tr|A0A2B4SWE6|A0A2B4SWE6_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene1681 PE=4 SV=1","ref|XP_020604135.1|",0,"uncharacterized protein LOC110043068 [Orbicella faveolata]",NA,"GO:0046983"
"evm.TU.chromosome_5.2559",104.388259197308,-1.21249843161257,0.246365863207563,-4.92153586469502,8.58676621437499e-07,1.63352563317959e-05,"sp|Q9Z2U4|ELF4_MOUSE",3.16e-25,"ETS-related transcription factor Elf-4 OS=Mus musculus GN=Elf4 PE=1 SV=2","tr|A0A2B4SFI0|A0A2B4SFI0_STYPI",9.22e-179,"Tetratricopeptide repeat protein 5 OS=Stylophora pistillata GN=TTC5 PE=4 SV=1","ref|XP_022785671.1|",0,"uncharacterized protein LOC111326010 isoform X1 [Stylophora pistillata]","GO:0016604; GO:0005654; GO:0005634; GO:0016605; GO:0000978; GO:0000981; GO:0001077; GO:0030154; GO:0045087; GO:0001787; GO:0001866; GO:0045944; GO:0045893","GO:0005634; GO:0003700; GO:0043565"
"evm.TU.chromosome_12.750",15.9445255594226,-1.7102688579383,0.347887796951881,-4.91615076160566,8.82624360484604e-07,1.67366100476822e-05,"sp|O93309|SMC3_XENLA",1.92e-71,"Structural maintenance of chromosomes protein 3 OS=Xenopus laevis GN=smc3 PE=1 SV=2","tr|A7SQ80|A7SQ80_NEMVE",1.62e-76,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g50013 PE=4 SV=1","ref|XP_022799106.1|",3.13e-83,"structural maintenance of chromosomes protein 3-like [Stylophora pistillata]","GO:0000785; GO:0000775; GO:0030893; GO:0005634; GO:0005524; GO:0051301; GO:0051276; GO:0006281; GO:0051321; GO:0006275","GO:0005694; GO:0005524; GO:0051276"
"evm.TU.chromosome_10.2598",38.9648791087481,1.67888215896854,0.342820022675394,4.89726984400273,9.71773500742142e-07,1.81221434525169e-05,"sp|O60673|REV3L_HUMAN",0,"DNA polymerase zeta catalytic subunit OS=Homo sapiens GN=REV3L PE=1 SV=2","tr|A0A2B4SXN4|A0A2B4SXN4_STYPI",0,"DNA polymerase zeta catalytic subunit OS=Stylophora pistillata GN=Rev3l PE=4 SV=1","ref|XP_020627371.1|",0,"DNA polymerase zeta catalytic subunit-like isoform X1 [Orbicella faveolata]","GO:0005730; GO:0005654; GO:0005634; GO:0016035; GO:0008408; GO:0051539; GO:0003677; GO:0003887; GO:0046872; GO:0000166; GO:0006261; GO:0042276","GO:0016035; GO:0008408; GO:0003677; GO:0003887; GO:0000166; GO:0019985"
"evm.TU.chromosome_5.1587",5.07432516293448,-3.03040258521627,0.620829496482746,-4.88121553886333,1.05433926899662e-06,1.9509706473366e-05,"sp|P36639|8ODP_HUMAN",1.76e-64,"7,8-dihydro-8-oxoguanine triphosphatase OS=Homo sapiens GN=NUDT1 PE=1 SV=3","tr|A0A2B4SW84|A0A2B4SW84_STYPI",1.9e-94,"7,8-dihydro-8-oxoguanine triphosphatase OS=Stylophora pistillata GN=NUDT1 PE=4 SV=1","gb|PFX32675.1|",2.94e-94,"7,8-dihydro-8-oxoguanine triphosphatase-like [Stylophora pistillata]","GO:0001669; GO:0005737; GO:0005829; GO:0070062; GO:0005759; GO:0005739; GO:0031965; GO:0005634; GO:0005886; GO:0044714; GO:0044713; GO:0035539; GO:0008413; GO:0047693; GO:0036219; GO:0003924; GO:0046872; GO:0030515; GO:0007568; GO:0046061; GO:0006203; GO:0042262; GO:0006281; GO:0008584; GO:0034656; GO:0006195; GO:0046686; GO:0006979","GO:0008413; GO:0006281"
"evm.TU.chromosome_7.608",5.27661806667297,-2.7780311288856,0.573280738638381,-4.8458476652884,1.2607222637413e-06,2.30143869410018e-05,"sp|Q9H8V3|ECT2_HUMAN",0,"Protein ECT2 OS=Homo sapiens GN=ECT2 PE=1 SV=4","tr|A0A2B4STW0|A0A2B4STW0_STYPI",0,"Protein ECT2 OS=Stylophora pistillata GN=ECT2 PE=4 SV=1","gb|PFX32503.1|",0,"protein ECT2-like isoform X1 [Stylophora pistillata]","GO:0005923; GO:0005911; GO:0097149; GO:0032154; GO:0005737; GO:0005829; GO:0030496; GO:0072686; GO:0005634; GO:0005096; GO:0005085; GO:0042803; GO:0005089; GO:0004871; GO:0090630; GO:0032147; GO:0070830; GO:0000902; GO:0071277; GO:0070301; GO:0071479; GO:0007186; GO:0035556; GO:0000281; GO:0043065; GO:0032467; GO:0043547; GO:0043123; GO:0045666; GO:0042307; GO:0051260; GO:0015031; GO:0051988; GO:0045859; GO:0035023; GO:0051056","GO:0005737; GO:0005634; GO:0005096; GO:0005089; GO:0000902; GO:0000910; GO:0035556; GO:0045666; GO:0035023"
"evm.TU.chromosome_14.1263",9.71111472862086,2.00753927065291,0.414555698784762,4.84262856966591,1.28132673067896e-06,2.33663060948659e-05,NA,NA,NA,"tr|A0A2B4SFY1|A0A2B4SFY1_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene7765 PE=4 SV=1","ref|XP_020602190.1|",0,"uncharacterized protein LOC110041249 isoform X1 [Orbicella faveolata]",NA,"GO:0003824; GO:0008152"
"evm.TU.chromosome_5.2828",4.33525414318773,-2.84900865015349,0.588431762910002,-4.84169759304654,1.28734576748326e-06,2.34517921819908e-05,"sp|Q9HLX1|IPK_THEAC",1.65e-34,"Isopentenyl phosphate kinase OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) GN=Ta0103 PE=1 SV=1","tr|A0A2B4SQ66|A0A2B4SQ66_STYPI",2.94e-128,"Zinc finger protein ZIC 3 OS=Stylophora pistillata GN=Zic3 PE=4 SV=1","ref|XP_020603926.1|",3.79e-170,"uncharacterized protein LOC110042884 isoform X1 [Orbicella faveolata]","GO:0005524; GO:0102043; GO:0016301; GO:0008299","GO:0016301; GO:0003676"
"evm.TU.chromosome_13.4108",3.80387155252668,3.24127376710379,0.670932721049363,4.8309967086332,1.35851250522375e-06,2.44949399099504e-05,NA,NA,NA,"tr|A0A2B4SI61|A0A2B4SI61_STYPI",2.91e-129,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene7141 PE=4 SV=1","ref|XP_020612458.1|",0,"uncharacterized protein LOC110050829 isoform X2 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_4.2266",3.76022834326375,4.08764898653131,0.849146220063081,4.8138340487786,1.4806177552254e-06,2.64529030183069e-05,"sp|Q32LJ3|CX065_BOVIN",7.83e-09,"Uncharacterized protein CXorf65 homolog OS=Bos taurus PE=2 SV=1","tr|A0A1S3GZL4|A0A1S3GZL4_LINUN",2.63e-24,"uncharacterized protein C22orf15-like OS=Lingula unguis GN=LOC106150849 PE=4 SV=1","ref|XP_020631806.1|",3.1e-117,"uncharacterized protein CXorf65 homolog [Orbicella faveolata]","",""
"evm.TU.chromosome_6.779",75.6901999588215,-5.14807397695631,1.07398178300817,-4.79344627479326,1.63940377271484e-06,2.89086455056503e-05,NA,NA,NA,"tr|A0A2B4SYR0|A0A2B4SYR0_STYPI",1.93e-69,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene792 PE=4 SV=1","gb|PFX34309.1|",2.98e-69,"hypothetical protein AWC38_SpisGene792 [Stylophora pistillata]",NA,""
"evm.TU.chromosome_13.2680",12.6215977396507,-1.55831384623991,0.325393170087688,-4.78901829998451,1.6759919825242e-06,2.94653440759943e-05,"sp|Q9V6X7|OFUT1_DROME",1.93e-113,"GDP-fucose protein O-fucosyltransferase 1 OS=Drosophila melanogaster GN=O-fut1 PE=1 SV=1","tr|A7SNE9|A7SNE9_NEMVE",0,"Predicted protein OS=Nematostella vectensis GN=v1g124761 PE=4 SV=1","ref|XP_020616507.1|",0,"GDP-fucose protein O-fucosyltransferase 1-like [Orbicella faveolata]","GO:0031410; GO:0005783; GO:0008417; GO:0005112; GO:0046922; GO:0098609; GO:0006897; GO:0006004; GO:0045746; GO:0007219; GO:0016266; GO:0045747; GO:0030163; GO:0036066; GO:0006493; GO:0008593; GO:0006355","GO:0016757; GO:0006004"
