"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_10.2221",46.345198610704,3.91198581024594,0.332445394182457,11.7673033788488,5.75343224242565e-32,8.20910173135187e-29,NA,NA,NA,"tr|A0A2B4RWC4|A0A2B4RWC4_STYPI",3.45e-70,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene14063 PE=4 SV=1","ref|XP_020617813.1|",1.67e-101,"uncharacterized protein LOC110055751 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_14.6590",71.5585769266104,3.37108716877737,0.291526599309679,11.5635663324031,6.3035340370885e-31,8.24449722600866e-28,"sp|Q5PQY6|LONP2_DANRE",0,"Lon protease homolog 2, peroxisomal OS=Danio rerio GN=lonp2 PE=2 SV=1","tr|A0A2B4SQU0|A0A2B4SQU0_STYPI",0,"Lon protease-like 2, peroxisomal OS=Stylophora pistillata GN=lonp2 PE=4 SV=1","ref|XP_020609548.1|",0,"lon protease homolog 2, peroxisomal-like [Orbicella faveolata]","GO:0005782; GO:0005524; GO:0004176; GO:0004252; GO:0016485; GO:0006515; GO:0006625","GO:0005782; GO:0005524; GO:0004176; GO:0004252; GO:0016558; GO:0016485; GO:0006515"
"evm.TU.chromosome_7.1258",35.5956198874385,3.44044587683418,0.300716805843182,11.4408167750634,2.61412817481343e-30,3.15605705413052e-27,"sp|Q8R003|MBNL3_MOUSE",1.11e-71,"Muscleblind-like protein 3 OS=Mus musculus GN=Mbnl3 PE=2 SV=1","tr|A0A2B4S9Y5|A0A2B4S9Y5_STYPI",0,"Muscleblind-like protein 2a OS=Stylophora pistillata GN=mbnl2a PE=4 SV=1","ref|XP_020631538.1|",0,"muscleblind-like protein 2 isoform X6 [Orbicella faveolata]","GO:0005737; GO:0005634; GO:0046872; GO:0006397; GO:0007275; GO:0045662; GO:0043484; GO:0008380","GO:0046872"
"evm.TU.chromosome_4.219",255.175126735005,2.2137794680917,0.194884399617904,11.3594493578352,6.65628574238798e-30,7.46217176619852e-27,"sp|Q8BTK5|SMYD4_MOUSE",2.11e-70,"SET and MYND domain-containing protein 4 OS=Mus musculus GN=Smyd4 PE=2 SV=2","tr|A7SM79|A7SM79_NEMVE",0,"Predicted protein OS=Nematostella vectensis GN=v1g214433 PE=4 SV=1","ref|XP_020622313.1|",0,"SET and MYND domain-containing protein 4-like [Orbicella faveolata]","GO:0046872; GO:0008168",""
"evm.TU.chromosome_13.1509",64.8216037613929,3.22125193321897,0.284205828009185,11.3342219467606,8.8817885764533e-30,9.2933114471623e-27,NA,NA,NA,"tr|A0A2B4S3I4|A0A2B4S3I4_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene11839 PE=4 SV=1","ref|XP_020603169.1|",0,"uncharacterized protein LOC110042159 [Orbicella faveolata]",NA,"GO:0016021"
"evm.TU.chromosome_4.1317",216.292314292167,1.6431665166701,0.14800631702857,11.1020026013681,1.22664144346314e-28,1.20325859094712e-25,"sp|Q5EAJ7|MVP_STRPU",0,"Major vault protein OS=Strongylocentrotus purpuratus GN=MVP PE=1 SV=1","tr|A0A2B4S2W7|A0A2B4S2W7_STYPI",0,"Major vault protein OS=Stylophora pistillata GN=MVP PE=4 SV=1","ref|XP_020616709.1|",0,"major vault protein-like isoform X1 [Orbicella faveolata]","GO:0005737; GO:0030529; GO:0005634; GO:0023051","GO:0005737; GO:0030529"
"evm.TU.chromosome_8.74",26.4140390628444,-4.45044979038492,0.401339604940928,-11.0889873204514,1.41884843734857e-28,1.30993095436387e-25,"sp|P02259|H5_CHICK",6.94e-26,"Histone H5 OS=Gallus gallus PE=1 SV=2","tr|A0A2B4S3T9|A0A2B4S3T9_STYPI",1.37e-40,"Histone H2A OS=Stylophora pistillata GN=2 PE=4 SV=1","ref|XP_020611822.1|",5.84e-42,"histone H1-delta-like [Orbicella faveolata]","GO:0015629; GO:0005794; GO:0016604; GO:0005719; GO:0000786; GO:0005634; GO:0003680; GO:0031492; GO:0006325; GO:0030261; GO:0006334","GO:0000786; GO:0005634; GO:0003677; GO:0046982; GO:0006334"
"evm.TU.chromosome_12.929",49.5489433980623,2.29528405181497,0.209073704407646,10.9783487996161,4.85720603016598e-28,4.23521381352528e-25,"sp|Q9NZJ5|E2AK3_HUMAN",8.32e-173,"Eukaryotic translation initiation factor 2-alpha kinase 3 OS=Homo sapiens GN=EIF2AK3 PE=1 SV=3","tr|A0A2B4SL20|A0A2B4SL20_STYPI",0,"Eukaryotic translation initiation factor 2-alpha kinase 3 OS=Stylophora pistillata GN=EIF2AK3 PE=4 SV=1","gb|PFX29192.1|",0,"eukaryotic translation initiation factor 2-alpha kinase 3-like [Stylophora pistillata]","GO:0005737; GO:0005783; GO:0005789; GO:0030176; GO:0016020; GO:0048471; GO:0005524; GO:0019899; GO:0004694; GO:0051879; GO:0042802; GO:0042803; GO:0004672; GO:0019903; GO:0004674; GO:0006919; GO:0001525; GO:0030282; GO:0019722; GO:0034198; GO:0070417; GO:0042149; GO:0002063; GO:0036492; GO:0031018; GO:0007029; GO:0030968; GO:0006983; GO:0048009; GO:0031642; GO:0017148; GO:0032057; GO:0001503; GO:0018105; GO:0036499; GO:0010628; GO:1900182; GO:0045943; GO:0010575; GO:0046777; GO:0051260; GO:0006468; GO:0060734; GO:1902235; GO:0010998; GO:0034976; GO:1990737; GO:0001501","GO:0005524; GO:0004672; GO:0003743"
"evm.TU.chromosome_13.2916",30.2897708495348,5.41812152753974,0.500234288087802,10.8311678278814,2.45010367470023e-27,2.02391458812738e-24,"sp|Q13114|TRAF3_HUMAN",1.31e-111,"TNF receptor-associated factor 3 OS=Homo sapiens GN=TRAF3 PE=1 SV=2","tr|A0A2B4RQ86|A0A2B4RQ86_STYPI",0,"TNF receptor-associated factor 3 OS=Stylophora pistillata GN=Traf3 PE=4 SV=1","ref|XP_020613329.1|",0,"TNF receptor-associated factor 3-like [Orbicella faveolata]","GO:0035631; GO:0009898; GO:0005829; GO:0005768; GO:0005739; GO:0019901; GO:0019903; GO:0004871; GO:0031996; GO:0005164; GO:0031625; GO:0004842; GO:0008270; GO:0006915; GO:0045087; GO:0032088; GO:0032480; GO:0016579; GO:0042981; GO:0001817; GO:0050688; GO:0032648; GO:0030162; GO:0007165; GO:0008063; GO:0002224; GO:0035666; GO:0033209","GO:0008270; GO:0042981; GO:0007165"
"evm.TU.chromosome_6.876",23.5533337264389,4.09689295772834,0.378676475193542,10.8189793296096,2.79876776429418e-27,2.19633300302986e-24,NA,NA,NA,"tr|A7SE94|A7SE94_NEMVE",2.62e-25,"Predicted protein OS=Nematostella vectensis GN=v1g244653 PE=4 SV=1","ref|XP_020607990.1|",7.35e-95,"uncharacterized protein LOC110046639 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_11.1996",54.5012843128985,2.08070893704956,0.194058038410062,10.7220961012335,8.01656615990469e-27,5.99142885141448e-24,"sp|Q9Z0W1|TNR16_MOUSE",1.92e-27,"Tumor necrosis factor receptor superfamily member 16 OS=Mus musculus GN=Ngfr PE=1 SV=1","tr|A0A2B4R837|A0A2B4R837_STYPI",4.9e-127,"Tumor necrosis factor receptor superfamily member 16 OS=Stylophora pistillata GN=NGFR PE=4 SV=1","ref|XP_020623560.1|",3.96e-173,"tumor necrosis factor receptor superfamily member 16-like isoform X2 [Orbicella faveolata]","GO:0009986; GO:0005911; GO:0005737; GO:0005887; GO:0043005; GO:0005634; GO:0005886; GO:0014069; GO:0005516; GO:0015026; GO:0005035; GO:0048406; GO:0017137; GO:0005031; GO:0031625; GO:0006919; GO:0007411; GO:1904646; GO:0007417; GO:0032922; GO:0007623; GO:0016048; GO:0035907; GO:0042593; GO:0031069; GO:0006955; GO:0006954; GO:0006886; GO:1903588; GO:0040037; GO:0051799; GO:0010977; GO:0021675; GO:0051402; GO:2001235; GO:0048146; GO:0042488; GO:1902895; GO:1900182; GO:0010468; GO:2001273; GO:0032496; GO:0007266; GO:0043588","GO:0016021; GO:0007165"
"evm.TU.chromosome_4.1003",115.775056487068,2.113928679948,0.199149617563097,10.6147764972646,2.54402529092746e-26,1.8149307700503e-23,"sp|Q8SWR2|BICRD_DROME",1.91e-16,"Bicaudal D-related protein homolog OS=Drosophila melanogaster GN=CG17365 PE=2 SV=1","tr|A0A2B4SPR9|A0A2B4SPR9_STYPI",0,"Thioredoxin-like protein 4A OS=Stylophora pistillata GN=Txnl4a PE=4 SV=1","ref|XP_022781480.1|",0,"bicaudal D-related protein homolog [Stylophora pistillata]","","GO:0005681; GO:0000398"
"evm.TU.chromosome_10.3011",58.2616630597441,-3.141145046474,0.296816721166526,-10.5827765839098,3.5818349363e-26,2.44421301414037e-23,"sp|Q29RT6|KI20A_BOVIN",1.22e-88,"Kinesin-like protein KIF20A OS=Bos taurus GN=KIF20A PE=2 SV=1","tr|A0A2B4SZR3|A0A2B4SZR3_STYPI",0,"Kinesin-like protein KIF20A OS=Stylophora pistillata GN=KIF20A PE=4 SV=1","ref|XP_020622223.1|",0,"kinesin-like protein KIF20B [Orbicella faveolata]","GO:0032154; GO:0005794; GO:0045171; GO:0005871; GO:0005874; GO:0030496; GO:0005654; GO:0005819; GO:0005524; GO:0016887; GO:0008017; GO:0003777; GO:0019901; GO:0000920; GO:0000910; GO:0001578; GO:0007018; GO:0000281; GO:0015031","GO:0005874; GO:0005524; GO:0008017; GO:0003777; GO:0007018"
"evm.TU.chromosome_11.2501",33.2142847297631,3.84423589586829,0.364786809565891,10.538308390161,5.75242743581896e-26,3.76184785854911e-23,NA,NA,NA,"tr|A0A2B4RMU8|A0A2B4RMU8_STYPI",2.26e-75,"Proto-oncogene c-Fos OS=Stylophora pistillata GN=fos PE=4 SV=1","ref|XP_020621624.1|",3.82e-96,"cyclic AMP-dependent transcription factor ATF-3-like [Orbicella faveolata]",NA,"GO:0003677; GO:0003700; GO:0006357"
"evm.TU.chromosome_5.1461",31.4684901649301,2.5102746957422,0.240298736393907,10.4464748063729,1.52073075129826e-25,9.54714765665045e-23,"sp|Q9JJ50|HGS_RAT",9.46e-153,"Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Rattus norvegicus GN=Hgs PE=1 SV=1","tr|A0A2B4S311|A0A2B4S311_STYPI",0,"Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Stylophora pistillata GN=HGS PE=4 SV=1","ref|XP_022794568.1|",0,"hepatocyte growth factor-regulated tyrosine kinase substrate-like isoform X2 [Stylophora pistillata]","GO:0005737; GO:0005829; GO:0005769; GO:0031901; GO:0005768; GO:0033565; GO:0070062; GO:0016020; GO:0032585; GO:0030141; GO:0042802; GO:0046872; GO:0019904; GO:0140036; GO:0044389; GO:0008333; GO:0010324; GO:0046426; GO:1903543; GO:0010628; GO:0072657; GO:0006622; GO:0043405","GO:0005622; GO:0016301; GO:0046872; GO:0006886"
"evm.TU.chromosome_6.991",207.762760955104,-2.98301544266139,0.287496988931989,-10.3758145563294,3.19476090813166e-25,1.92852970973563e-22,NA,NA,NA,"tr|A0A2B4RTG5|A0A2B4RTG5_STYPI",0,"Centromere protein F OS=Stylophora pistillata GN=CENPF PE=4 SV=1","ref|XP_020628489.1|",0,"LOW QUALITY PROTEIN: uncharacterized protein LOC110065673 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_13.69",56.9806301358604,2.191516597717,0.212743749113109,10.3012032402975,6.95854044047407e-25,4.04497378567557e-22,"sp|Q3UZD5|PRDM6_MOUSE",8.13e-90,"Putative histone-lysine N-methyltransferase PRDM6 OS=Mus musculus GN=Prdm6 PE=1 SV=1","tr|A0A2B4T2V4|A0A2B4T2V4_STYPI",0,"Putative histone-lysine N-methyltransferase PRDM6 OS=Stylophora pistillata GN=Prdm6 PE=4 SV=1","ref|XP_020625756.1|",0,"putative histone-lysine N-methyltransferase PRDM6 isoform X1 [Orbicella faveolata]","GO:0005634; GO:0018024; GO:0046872; GO:0003676; GO:0042803; GO:0051151; GO:0045892; GO:0022008; GO:0006351","GO:0008168; GO:0003676"
"evm.TU.chromosome_12.2433",35.2447503217395,-4.53027520801088,0.450131183472503,-10.0643442941731,7.94147447400079e-24,4.4514800667658e-21,NA,NA,NA,"tr|A0A2B4SBB4|A0A2B4SBB4_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene9017 PE=4 SV=1","gb|PFX26323.1|",0,"uncharacterized protein LOC111329142 [Stylophora pistillata]",NA,""
"evm.TU.chromosome_12.3131",21.7032840919014,4.76191336009324,0.475496207592491,10.0146190107457,1.31467460462786e-23,7.11510962746009e-21,NA,NA,NA,"tr|A0A2B4SSY2|A0A2B4SSY2_STYPI",1.07e-35,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene3639 PE=4 SV=1","ref|XP_020614548.1|",1.15e-60,"uncharacterized protein LOC110052729 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_10.526",92.603732984192,2.81901032311756,0.283532985502873,9.94244221044606,2.72073576996305e-23,1.42339826365234e-20,"sp|Q5JL96|ZFP34_ORYSJ",5.53e-34,"Probable E3 ubiquitin-protein ligase RZFP34 OS=Oryza sativa subsp. japonica GN=RZFP34 PE=2 SV=1","tr|A0A2B4S4Y1|A0A2B4S4Y1_STYPI",4.02e-178,"RING finger and CHY zinc finger domain-containing protein 1 OS=Stylophora pistillata GN=Rchy1 PE=4 SV=1","ref|XP_022793972.1|",0,"histone-lysine N-methyltransferase, H3 lysine-79 specific-like [Stylophora pistillata]","GO:0005634; GO:0016740; GO:0008270; GO:0016567","GO:0008270"
"evm.TU.chromosome_10.2458",103.147544967052,3.7959516110333,0.382134407261332,9.93355096767654,2.97469316642747e-23,1.506058362809e-20,"sp|P31029|SPYA_CALJA",3.81e-149,"Serine--pyruvate aminotransferase, mitochondrial OS=Callithrix jacchus GN=AGXT PE=2 SV=1","tr|A0A2B4SI15|A0A2B4SI15_STYPI",0,"Serine--pyruvate aminotransferase, mitochondrial OS=Stylophora pistillata GN=AGXT PE=4 SV=1","ref|XP_020624089.1|",0,"serine--pyruvate aminotransferase-like [Orbicella faveolata]","GO:0005759; GO:0005782; GO:0008453; GO:0016597; GO:0042803; GO:0043621; GO:0030170; GO:0005102; GO:0004760; GO:0019265; GO:0009436; GO:0042853; GO:0019448; GO:0007219; GO:0046724","GO:0008453; GO:0004760"
"evm.TU.chromosome_14.7108",68.2031001880039,-4.79397710072371,0.484593693333072,-9.89277649849377,4.47442705142656e-23,2.19456664287937e-20,"sp|P84616|DCAL2_DRONO",6.32e-10,"Dromaiocalcin-2 OS=Dromaius novaehollandiae PE=1 SV=2","tr|W4ZKN5|W4ZKN5_STRPU",2.7e-59,"Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1","gb|KXJ23567.1|",1.24e-60,"uncharacterized protein LOC110250263 isoform X1 [Exaiptasia pallida]","GO:0005578; GO:0030246","GO:0016020; GO:0022829"
"evm.TU.chromosome_11.2852",94.1917987975739,2.97293237608784,0.301036754855409,9.87564584103949,5.30898511945105e-23,2.52498549847831e-20,"sp|Q9R0S2|MMP24_MOUSE",2.2e-86,"Matrix metalloproteinase-24 OS=Mus musculus GN=Mmp24 PE=1 SV=2","tr|A0A2B4SJZ6|A0A2B4SJZ6_STYPI",0,"Matrix metalloproteinase-14 OS=Stylophora pistillata GN=Mmp14 PE=4 SV=1","ref|XP_022784338.1|",0,"matrix metalloproteinase-14-like [Stylophora pistillata]","GO:0005887; GO:0005578; GO:0032588; GO:0045296; GO:0004222; GO:0008270; GO:0044331; GO:0098742; GO:0050965; GO:0010001; GO:0097150; GO:0006508","GO:0031012; GO:0004222; GO:0008270"
"evm.TU.chromosome_4.2462",109.662456354108,1.76779907458895,0.182267034779007,9.69895119395758,3.04613663979711e-22,1.40615042828281e-19,"sp|P79126|PPM1G_BOVIN",2.94e-77,"Protein phosphatase 1G OS=Bos taurus GN=PPM1G PE=2 SV=2","tr|A0A2B4RPA0|A0A2B4RPA0_STYPI",0,"Protein phosphatase 1G OS=Stylophora pistillata GN=PPM1G PE=4 SV=1","ref|XP_020613770.1|",0,"probable protein phosphatase 2C 21 [Orbicella faveolata]","GO:0005737; GO:0016020; GO:0005654; GO:0046872; GO:0004722; GO:0007050; GO:0035970","GO:0046872; GO:0004722"
"evm.TU.chromosome_1.189",26.3442618276201,3.01887357850669,0.311747960758461,9.68369952176105,3.53680903871817e-22,1.58600622464805e-19,"sp|Q0IID7|DUS10_BOVIN",2.88e-70,"Dual specificity protein phosphatase 10 OS=Bos taurus GN=DUSP10 PE=2 SV=1","tr|A0A2B4SN86|A0A2B4SN86_STYPI",2.85e-174,"Dual specificity protein phosphatase 10 OS=Stylophora pistillata GN=DUSP10 PE=4 SV=1","ref|XP_020609406.1|",0,"dual specificity protein phosphatase 10-like [Orbicella faveolata]","GO:0005829; GO:0005794; GO:0016607; GO:0008432; GO:0033549; GO:0017017; GO:0048273; GO:0004725; GO:0000188; GO:0010633; GO:0050680; GO:1905042; GO:0070373; GO:0043508; GO:1903753; GO:0044387; GO:0060266; GO:0048709; GO:0035970; GO:1990264; GO:0045591; GO:0006470; GO:0002819; GO:0090335; GO:0032496","GO:0017017"
"evm.TU.chromosome_11.2916",33.8776776157178,2.41426675624883,0.250991558559961,9.61891615040937,6.65284543624917e-22,2.90045580894252e-19,"sp|Q80U96|XPO1_RAT",0,"Exportin-1 OS=Rattus norvegicus GN=Xpo1 PE=1 SV=1","tr|A7RWU3|A7RWU3_NEMVE",0,"Predicted protein OS=Nematostella vectensis GN=v1g182854 PE=4 SV=1","gb|KXJ17498.1|",0,"exportin-1-like [Exaiptasia pallida]","GO:0005642; GO:0015030; GO:0005737; GO:0005829; GO:0030529; GO:0000776; GO:0016020; GO:0031965; GO:0005730; GO:0005634; GO:0043234; GO:0005049; GO:0005487; GO:0019904; GO:0008565; GO:0008536; GO:0003723; GO:0051028; GO:0000122; GO:0006913; GO:0006611; GO:0034504; GO:0010824; GO:0042176; GO:0046825; GO:0042493; GO:0000055; GO:0000056; GO:0000054; GO:0042254","GO:0005737; GO:0005634; GO:0005049; GO:0046825; GO:0000055; GO:0000056"
"evm.TU.chromosome_6.55",41.2757546468934,-3.56880644131804,0.371570250170411,-9.6046614057,7.64086485516581e-22,3.24117226761695e-19,"sp|Q14980|NUMA1_HUMAN",7.27e-12,"Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2","tr|A0A2B4RQH1|A0A2B4RQH1_STYPI",0,"Nuclear mitotic apparatus protein 1 OS=Stylophora pistillata GN=NUMA1 PE=4 SV=1","gb|PFX19053.1|",0,"nuclear mitotic apparatus protein 1-like [Stylophora pistillata]","GO:0005938; GO:0099738; GO:0005813; GO:0005694; GO:0055028; GO:1905720; GO:0005829; GO:0030425; GO:0070062; GO:0019897; GO:0000139; GO:0097575; GO:0016328; GO:0097427; GO:0036449; GO:0035371; GO:0072686; GO:0061673; GO:1990023; GO:0097431; GO:0043025; GO:0016363; GO:0005654; GO:0005634; GO:0043234; GO:0005819; GO:0005876; GO:0000922; GO:0031616; GO:0097718; GO:0070840; GO:0008017; GO:0051011; GO:0051010; GO:0035091; GO:0008022; GO:0032403; GO:0019904; GO:0005198; GO:0015631; GO:0055048; GO:0030953; GO:0051301; GO:0007059; GO:0000132; GO:0051321; GO:0001578; GO:0006997; GO:0030513; GO:0051984; GO:1905820; GO:0051798; GO:0032388; GO:0045618; GO:0031116; GO:1902846; GO:1904778; GO:1902365; GO:1905832; GO:0090235; GO:0060236",""
"evm.TU.chromosome_10.2013_evm.TU.chromosome_10.2014_evm.TU.chromosome_10.2015_evm.TU.chromosome_10.2016",105.636807021323,5.29867918841647,0.552105329666949,9.5972252099302,8.2125531815226e-22,3.3920005837894e-19,"sp|P52556|BLVRB_BOVIN",4.82e-25,"Flavin reductase (NADPH) OS=Bos taurus GN=BLVRB PE=1 SV=2","tr|A0A2B4SJ30|A0A2B4SJ30_STYPI",9.97e-108,"Flavin reductase (NADPH) OS=Stylophora pistillata GN=Blvrb PE=4 SV=1","ref|XP_020600934.1|",6.41e-131,"uncharacterized protein LOC110040085 [Orbicella faveolata]","GO:0005829; GO:0005654; GO:0005886; GO:0004074; GO:0042602; GO:0042167",""
"evm.TU.chromosome_7.2827",73.0609804605554,3.47291058591331,0.362453817486441,9.5816636999367,9.54940983556351e-22,3.84302531715819e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"evm.TU.chromosome_13.223",276.783563011224,3.1945820439262,0.333904933130949,9.56734006284767,1.09691421958949e-21,4.30401716911427e-19,"sp|P18258|TBA1_PARLI",0,"Tubulin alpha-1 chain OS=Paracentrotus lividus PE=2 SV=1","tr|E0YPA2|E0YPA2_9CNID",0,"Tubulin alpha chain OS=Seriatopora hystrix GN=tuba PE=2 SV=1","gb|ADM13666.1|",0,"alpha-tubulin [Seriatopora hystrix]","GO:0005737; GO:0005874; GO:0005525; GO:0003924; GO:0005200; GO:0007017","GO:0005737; GO:0005874; GO:0005525; GO:0003924; GO:0005200; GO:0007017"
