Sample,Species,Genotype,Experiment,Tank,Phenotype,Polyp,Random,Interstitial Space,Interstitial/Polyp,Frac Bleach
AK2,Astrangia,K,Hot,2,W,124.7,150.4,173.2,150.8,0.639
AL2,Astrangia,L,Hot,2,M,44,70.6,144.7,103.3,0.263
AQ3,Astrangia,Q,Hot,2,B,35.6,90.9,130.5,86.2,0.174
AS6,Astrangia,S,Hot,2,B,41.3,66.6,126,95.2,0.111
AC6,Astrangia,C,Hot,3,W,144.2,168.3,207.4,176.9,0.726
AF3,Astrangia,F,Hot,3,M,111.2,132.8,163.6,138,0.453
AH1,Astrangia,H,Hot,3,M,58.6,120.5,148.5,107.6,0.387
AN1,Astrangia,N,Hot,3,B,43,80.7,123.6,84,0.108
AQ1,Astrangia,Q,Hot,3,B,46.4,73.9,133.9,94,0.103
AR4,Astrangia,R,Hot,3,B,41,86.1,140,93.2,0.2
AT1,Astrangia,T,Hot,3,B,31,58.8,119.9,74.5,0.09
